Sentiments,Reviews
negative,bhot low shoes hy our colour be jo kaha wo nai aia  itmad bana k zaleel kiya ha wasy deaz app na
positive,"Nice product,Nice packing,sound quality is good in this price."
positive,good product sound quality perfect
positive,seasonal potatoes 
positive,that was asked by one of my Egyptian friend to find it and luckily i got it from Daraz without any delay and i got the exact order what we were looking for. great Daraz great seller. 5 yes from me 👍🏻
positive,"Seller did excellent, it is 100% better than my expectation, very inexpensive price and fine quality. Will recommend to all."
neutral,Nice and advanced product. Some specifications must be mention. Impressive in this price
negative,A very bad experience. Dumbells are in very poor condition. Rusty and used. The weight of individual dumbell should be 2 kgs but it's not. The total weight of two dumbells are 2 kgs. Seller is selling poor quality dumbells in such a high price. Money wasting item. When I'm paying full amounts dumbells should be new and accurate in weight. He is making people fool. Not recommended at all.
negative,the size of pots re really very small worst of money
positive,very original and magical product..... I use it by first time and its actually working for thin hair and covered the scalp as much possible.... ! Thanks daraz
positive,Hey guys I ordered USB wireless pump I ordered 14 august delivered it 17 august reasonable price excellent quality good working easy to my life thanks daraz I prefer everyone buy this machine
positive,same cheez bheji hai jo kaha tha bil kul wahi bheji hai bhut shukria ap ka our daraz ka bhi jis ki waja se hum aj bhi online shopping pr bharosa kr sakte hain
positive,It's very good Battery bhi  Achi ha  range 10 m ha thank you
neutral,awesome thank u 💖 good seller same thing but they send red color instead of mahroon but it's good
negative,Bakuass h dikhatay or h bhajtay or dhokay Baz log
negative,"The order was for 100CM Antiburst Exercise Gym ball with an air pump. However sent me the sheet, Attached is the image"
positive,Fresh fresh potato
positive,received  order earlier .timely delivered .Will further review about the quality  of shoes after using it.
positive,Good Quality Product and fair Price. I recommend this supplier.
positive,finally recv my parcel... feeling very happy... really very beautiful ... nice quality in this price. highly recommended.. thank u seller.... ❤️❤️❤️❤️
positive,I ordered this second time. the product is great. I'm satisfied wth the quality also. recommended 💯
neutral,Normal quality
negative,It's faulted charging ni hoti  na ho rahe hyen just 1 hour chale hyen bs.i don't know it's scame or jenioun fault
positive,"Good Quality Hand Free 
Sound Sounds quality is also good
Recommended ☑️☑️☑️
Suggestion : Please pack it in a box if you can 🙂"
negative,not really good quality
positive,"Nice Product, Fast delivery, Love it"
negative,Probably the worst item I have ever gotten of daraz the lights did not work at all no matter what I did and got no response from the customer service 0/10 would never recommend.
positive,Umbrella is good and it is opened by clicking the button but closing is manual. Delivery on time and I would suggest keep umbrella with you as these days weather is unpredictable due to climate change.
positive,good product in this price range!
positive,best quality same as pics.... thanks daraz....!!!
positive,outclass quality
positive,great product highly recommended..
neutral,Good for normal use
negative,This is not kid wardrobe it is just toy dnt recommended I m not satisfied
positive,Good product. Timely delivered.
positive,highly recommended received on time highly recommended best quality packing BHI Achi thi highly recommended 
positive,Original Product with excellent results and fragrance same as described by the seller Highly Recommended safely and neatly packed Delivered on time Overall excellent experience again from DARAZ Thank you DARAZ
neutral,quality thori low ha magar thk ha bs
positive,"superb sound quality ❤️, long strong wire, jeck pin device compatible, bounce gift thumbs glaves also awesome, highly recommend 😊"
positive,"great experience.
I ordered it for the second time."
positive,Best item and very economical. 
negative,One of the worst experience with Daraz and Dawlance. order delivered with 10 days delay and color was also not the samecas ordered.
positive,Good quality is price main 
neutral,overall every thing is fine the product is original and new but its look like its too old manufactured there copies turn into yellow
positive,Same as in pic really liked the quality and size ..will shop again InshaAllah 
positive,I receive in good condition and battery timing and sound quality next level thanks 
positive,jhakas sabzi 😎
positive,received on time and these are really good for FPS games
neutral,"The molds are of good quality, but the top handles seem weak and can break easily. Rest all good."
negative,"overall the airbuds are good but it's packaging was very bad it is was tear from outside, the right one is not charging it get charged 50% after 2 hours and when I connected to phone it's battery drop to zero % in ten secs...I can't fix it.... and the wire you provided is defective it was not charging my power bank I have wasted my two hours for fixed it but then plug my phone charge and it started charge plz provide real material and fix material so that customer can never get worried .."
negative,product box was teared when I received it. product was physically good but bad quality of sound for headphones and mic just like old radio sound quality.
positive,"Parcel is received, hope for good quality 
And quick service ❤️
Thanks ❤️❤️"
positive,i order this BTS shirt it comes so amazing the quality each and everything  is perfect  but I might want 3xl more baggy but it's perfect  I love to wear extra  extras  baggy dress thank you daraz for best quality  will shop again  very soon
neutral,over all dryer was fine but
positive,No fault. all okay. same as shown. trusted seller. recommended product
positive,Order deliver very fastly awesome product with good packing according to me its Good gift for your baby on birthday. . Product recommended and shipping cost and processing time is too fast... Finally thanks ....🤞🤞
negative,"Worst experience, the lid come broken now the botlle is useless for me I can't even keep that in my bag. The one I brought from store was bright blue in color with a pleasant smell and the smell of this one is so unpleasant. I wasted my money. If there's an option of no star I'll be definitely choosing that."
positive,it's so so so awesome I love this 😍😍😍💞💞💕💕💕💕
positive,JazakAllah Daraz for fresh and good quality vegetables at reasonable prices thanks a lot  for providing this facility
negative,Don’t buy this. The seller is greedy and selling it 3x the actual price. It was only 600rs just a month ago.
positive,this is the best thing shows results in just 30 minutes (damp medium length hair) its amazing 10/10 recommend
positive,"Bohat ache han airpods.
Value to money.
Thanks for such an amazing airpods in low amount.🙂.
Delivery bhi time pr hoi."
positive,Good quality and good shipping well in time.  Not yet tried but very light weight. Good thing is there is a spare set of carbons and a manual is attached.
negative,"Wrong color, I have chosen Yellow Color but you have been send me Pink color, so i have returned your paesal on TCS."
positive,Lights are perfect and quality is also good according to price.
positive,Very much accurate one.
positive,awsome.. quality product in budget..outstanding ..fully recommended 
negative,"bad product, quality is so cheap"
neutral,"I really loved it! And this dropper is so amazing,But! only 2 nozzles are perfect to draw henna.....When i was pouring Heena in it my all hands got dirty and it created mess... Although i loved it! Thanks daraz and seller it was a good experience⭐⭐⭐"
positive,I ordered this charcoal Bags...the quality and stuff is same as shown in the picture...thanks Daraz
positive,Awesome product.No default.Very good quality Impressed me
positive,It’s good I haven’t set it yet but I will in a bit so far so good
positive,All good👍🏻
negative,MASK IS DEFECTIVE. BORDERS ARE NOT COMPLETELY PRESSED... ITS OPEN. FILTER IS JUST A SHOW. ITS COMPLETELY SEALED. ITS SUFFOCATING WHEN YOU WEAR MASK. LOW QUALITY FINISHING. ELASTIC STRAPS CAN EASILY BROKEN. REALLY DISAPPOINTED ....
neutral,quality is average. wrt to price its ok
negative,this product is a complete waste.
positive,"very fast delivery, probably the best purchase on Daraz"
positive,Seller is very corperative.
positive,excellent product this is 2nd time iam ordering
positive,Product is very good. Thank you Hania Collection and Daraz. 
negative,bilkul bhi achaa nhe hy or lighting bhi nhe
positive,vegetables are very fresh and in proper packaging
positive,So cool and amazing 🤩
positive,"Fresh Vegetables, reasonable prices at discounts and timely delivery, 10/10👍"
positive,Good product same as shown saller is honest
positive,As always product is 100% as per description. Highly recommended
positive,This is such a great cap...! Embroidery is very neat and clear.. Thank you so much Daraz ♥️
positive,excellent product 
positive,satisfied 100% original product
positive,very happy to see it.... it's amazing ..good product quality ....amazing thing is it carries warranty card for 6 months...deliverd before due dates...seller attitude is also satisfied...thanks daraz for building trust..
neutral,receved 6 bags🤝
negative,اچھی پروڈکٹ ہے
negative,Bakwas hai ma na rating dakh kr mangwa li lakin yah orignal nahi han jin sb ny 5 star rating di hai un sb ny original Gionee k handfree use he nahi kiya
positive,Beautiful product stuff🙃🤗 is too much good i like🥰 it to much and very fast delivery i give it 5 stara☺
negative,"Quality is extremely poor and will affect your eyes very badly, worked with only 1 video from dozen of videos and even the quality of that video was very poor. It's a 30 rupee glass. not recommended at all."
positive,very good quality and fresh products delivered by Daraz fresh and in very cheap rates from market.
positive,"overall good experience,thank u so much 🌹"
negative,but 399 rupees for necklace and 150 delivery charges not so good
positive,satisfactory 
positive,I will rate 10/10 My experience was good Thanks Daraz💚
positive,"Amazing product.
It was my 2nd order."
positive,Dalivery on time and good quality
negative,"worst thing ever ordered from daraz,, got broken within 4rth time of use.."
negative,Bad quality Complain for refund
neutral,Good product but need improvements in quality.
positive,Thanks DARAZ For Good Discount Against 12.12. Thanks DARAZ For Free Shipping & Delivery. Recommended
positive,nice produce ye mera dosra dafa he ke me mang warana ho
negative,"Leakages . The cap is poor, once unscrewed does not allow to screw back on. very bad design"
positive,"Great taste and fresh batch. this is my 3rd order. very happy, it was well packed. Thank you Daraz and Reload. keep it up!"
neutral,zada long ni hn ... 15 feet ni hn ye but product achi hn ... i m little bit unsatisfied
positive,"Item is good, delivered timely, not used as yet, seems to work as claimed by the seller."
positive,that's so amazing and comfortable 🥰10/10
positive,Highly Recommended!!!
positive,Genuine product. Quick delivery. AC is working till now.
positive,very good delivered on time
negative,Total wastage of money.    
positive,😍 loved it 
positive,its a good product my mom liked it very much i would recommended to buy and it was reasonable price also its been 4 months my mom is using it
positive,it was owsome thank u daraz team
positive,very good perfume for girls this perfume is long lasting
positive,Good product as shown in the picture thank you for this great product
positive,Product received with safe packaging working perfectly on my android device. Seller is highly recommended.
positive,Its covalety very good
negative,Third class product sent without checking
positive,very good and orignal product.received same as shown in picture. machine is working fine. its my first order from daraz and l am very satisfied. delivery was fast took 2 days to receive. highly recomend this product and seller.
neutral,Normal as per price just ok
negative,It’s only 10 piece 5 for 1 kg and 5 for half kg price is high
positive,Recieved the package and the package was pretty much nice
negative,The product is very useless. The thickness of the product make it useless to be tied on knees. Can't bend or do anything with it. Not recommended.
positive,Super Fast delivery and great product. ordered at around 7am and recieved the product at 1pm noon the same day in Lahore on a Sunday. Thank you for such a great service and product. JazakAllah
negative,bad quality product
negative,یہ خراب تھا چینج کرو
positive,zabardst bht achi product hai
positive,I am very satisfied with this product the colors and stuff of this product is very good thanx daraz and seller
positive,"Thanks for timely delivery of laptop, that is in excellent condition. Really delighted to see the quality of product."
neutral,"pink color ordered but blue recieved , good quality fast delivery thank daraz"
negative,Its tooooo bad quality. Waste of money. Fraud cheat seller.
positive,Bro nice 
positive,"Good product, satisfied. thanks daraz. recommended."
positive,its too good thank u 
negative,not satisfied with this product
positive,really like this quality is good taste is good I really like this Milk ...
positive,Remote is working very good quality is best and packing is also good . This seller is best on Daraz
neutral,"Sorry to say, but i must say that I received this order a bit late than I have expected. Anyways shopping from Daraz was a good/positive experience."
neutral,it's my first experience. achy ha but lite bht low ha. but thnx daraz
positive,well packed and safely arrive and original Product with discounted price
positive,highly recommended. best quality
negative,Fake Product
negative,bilkul bakwas hai Jo chez dekhai hai esa ni hai waste of money 😏
negative,"Device won't pair with iPhone, though working perfectly on Android Thanks Geepact,product is good working with Infocar and car scanner apps in Prius it will take some time to understand it well,but not work with dr Prius anyway thanks good product in this money"
neutral,quality is average but working very good.
positive,Paisa wasool  👍
neutral,its ok for everyday ue.
negative,Very Bad Experience
neutral,"mujy laga tha Al time shine kry gay but ya d
full andhara ma star ka nichy Jo double tape huti h wo nzr Ati h but fine bhut achy h highly recommend "
positive,like it😉
neutral,As per amount  the product is 👍 
negative,"buttons are a bit hard, not useful for permanent wearing but only for some steps could be taken within specific area."
positive,bht ache hai bht kch a gya saman es m 👍
positive,The product was good same as shown
neutral,Not Bad At All Product Was Fine
negative,not satisfied it is not comfortable and not same as shown in the picture
negative,Not good..testless ..expensive..not worth to buy!
positive,Lovely product...
positive,"I received my order the door draft was good to resist rats, insects and dust, the length was perfect. I recommended it to you all."
positive,Very very nice sunset lamp it has many different shades and colours it looks very beautiful and it provides aesthetic vibes. Really a cool gadget must purchase it highly recommended 10/10 from my side really amazing service
neutral,its nice but narrow not exactly fit to feet. not meet the expectation
neutral,battery timing Is not good but not bad product in cheap price Same as picture Delivery is to late but i am satisfied packing Also not good
positive,"Achii hai ,pasnd aee mjhe..... delivered in good packing  , color bhi achyy haiN in this price it's good."
positive,the product was as shown in picture
negative,bohat low quality hai
positive,Good sound having excellent battery timing.
negative,they will not mentioned that this pods are second hand but that's scond hand and one pod are out of order.....
positive,It works slowly for me but it's working quite well on my wrinkles blemishes and moreover on my dark spots.
negative,batre ni theek is ki bohat problem hia is mia batre ki bus  
positive,"when I received it and used them ,i was very shocked that on such a lot price i have got a marvelous product . the sound, the bass , the nice cancellation , all functions are faboulous and iam very happy with my purchase."
neutral,Skin is good quality but black is not so good. Better overall
negative,Very small in size and are not glowing the way they have to.
negative,"very poor,third class quality"
positive,Very good to use ! I m happy 😊
positive,great experience ever ❤️ i recommend everyone to buy products from them . 
negative,package was a little leaking. but it's not due to travelling. Please improve yourself. Don't blame courier services.....
positive,Bht achay han earopod Pic ni le saki lekin ye daraz se mra 8th order han or aj tk jo mngvaya acha hi mila
positive,Book is good 👍. Recommended. Price was hidden. Not a good gesture.
neutral,"very helpful product but need to connect with smaller diameter pipe and maybe clumps for tight connecting, otherwise with pressure pipes comes off."
neutral,quality is good...and was delivery was quick but size is a little small
neutral,my expectations was little bit high but price is higher then other
positive,High quality product..must buy.
positive,best thing ever...
negative,not good quality
positive,awesome sound
positive,first order kia hai and i m satisfied bilkul fresh hn thank you daraz
positive,Nice product and fast delivery. The thing attract me that daraz serve this time free delivery. Very nice product in this prize.
positive,ITS A GOOD PRODUCT AND USEFUL
positive,"ya h pakistan ka daraz,s size 43 tha or aya han 41 or 42 nice I like it."
neutral,"The item is good but a little small in size. however, it will done the job nicely."
positive,"Recommended, thanks daraz and supplier, packing is good and service is very fast, quality is also fine"
neutral,THE SWEATER WAS FINE AND NOT PERFECT HAD MANY THREADS AND WILL RATE IT 4 OUT OF 10
positive,Bhut acha sound ha  game ka liya tu bhut achi ha
negative,v.cheap quality. even regular shopping bags are good quality as compare to this
positive,Nice quality i like it thanks seller
positive,It's is amaizing full recomended
positive,I'm very satisfied...same as shown in picture it's little shiny but its ok
positive,best in this price range quality is ok according to price i amatisfied thank u
neutral,Not bad the adhesive wasn’t the best but it worked the back cord is really short I still made do overall seems good and has nice colours
neutral,quality seems good.and very good in this price but i asked and request seller for black and white colour contrast choker he said ok but send me white only..not good..overall good experience according to price
positive,NICE PRODUCT BUT A LIL BUT DIRTY
positive,good quality 😊 and fresh vegetable 
positive,fresh and big pieces for french fries
positive,"parcel received on time , perfect brush"
neutral,not bad 
negative,Very bed
positive,"everything is perfect, service, cooperative n honest seller just a little bit need more progress in hok areas"
positive,thank you sir airpods mjhe mil gye h very good cundition jazakALLAH
neutral,no instructions manual on how to assemble
positive,exact size and color. satisfied
negative,sound quality is average not so good as the price is .. else rest of the set is good ..but it is broken from 1 end ..which I will mark a return.
negative,not at desired standard. price are also high like product. in local market two or three hundred available.
positive,buht hi Amazing airpods ha 😻😻😻😻 mana pura hafta use krna ka bad comment pass kr rahi ho 😜 sound bi achi ha thank u❤😻 Daraz Saller❤💖❤💖
positive,nice 🙂
positive,its so good i love it
negative,very cheap airpod sounds is cheapest 🔇
neutral,bht acha lga mjhy ye B's ye thory choty star hn but I love it thnx daraz 
positive,The quality of the product was good and it was delivered on time.
positive,Its really good and good material love it I really recommend the seller and the WASD keys have different color which looks so cool thank you
negative,useless almost very much small in size
neutral,same as shown in the picture
negative,"The delivery of the medical items I ordered from Daraz was delayed without any proper explanation or communication. It caused unnecessary stress and inconvenience, especially when the items were urgently needed. Timely delivery is crucial when it comes to medical supplies."
negative,l ordered 2 pair of shoes and paid also for two but I received 1 pair
positive,"ya order mara friends ko bohot pasand aya ya mana apna friend kaliya mangwaya wo mujsa bohot khush ta 
Thank You"
positive,"es price mein behtreen shoes hai
fast delivery "
negative,they are selling copy of gionee. not a good product. money wasted
positive,I am satisfied from seller and Daraz
negative,it is very good but the size is very small. it is so low quality it broke in 1 day
neutral,"quality is good , so experience very disappointed"
positive,Very good quality product delivered on time. Dress quality is very awesome 👍👌i recommend it. Thank you daraz.
positive,Wow amazing sound with iPhone love it 
negative,Showed something else and sent something else.
negative,colour and stitching not good...
positive,I love this product same as picture thank you 👍👍
positive,it's nice of product and high sound of speaker
neutral,Received the product in good shape and packaging but I was very disappointed to see that the remote control is not working. Probably the cell it has is of less power. Giving 3 stars only because remote is not working else everything is perfect!
negative,Very Bad Quality Product 1 Hafta B Nhe Chali
neutral,Size chota hai lakin achi hai
neutral,"Olim ki mostly products achi hoti hain reasonable pirze mein, They looks good, but abhi use nahi kiya, well packed So NO leackage at all."
neutral,"Delivered on time, quality of the pan is good. Parcel is safely delivered but packing is not up to the mark, it should be packed within proper box."
positive,Very owesome shoes in this cheap price and delivered in very less time. I appreciate the honesty of the seller. And size wise it very good for me. Recommended seller. And the product is same as I ordered.
negative,used it just once and not good at all very very disappointed very bad delivery
negative,"This is my fault that I opened the product after 22 days of receiving my parcel and unfortunately it is a faulty product. It doesn't turn ON at all. When contacted seller, he says claim time has passed. Seller is absolutely right but there must be some way to resolve the customer issue even after the specified time :( ... Now I can only throw this product and there is no other solution."
positive,"Very good stuf, sorry for late review. "
positive,thanks for you
positive,Good sound. orignal 
positive,the chopsticks are really down to earth>they are like so amazing and beautiful..the golden touch gives them a royal look ..... recommend<3
positive,"A good seller very careful about customer satisfaction, truly a good seller a nice product in this price. I face some issue but after chat seller removed the discrepancy. Thanks seller"
negative,"Stuff Quality Very Bad. Just Like ""Food Panda Bag Material 😁"
neutral,the quality is good but it has very vibration 
neutral,I received my order. it's better but can't say wonderful. working good but quality is not good . it's very light in weight and not looking original. but work good not better. Recommended
positive,same as ordered. Thanks for providing this desi food. love the colour and scent. Thanks Daraz and Seller
positive,Overall product is good just the adhesive quality isn't really there (which is expected)
negative,very bad experience ... hands free hi nh he ....khali box Aaya 😡😡
positive,Good and same as described by the seller. best for use. 5 stars for seller
positive,Nice packaging. Satisfied
positive,very good stuff and good deals 
positive,"fresh and good vegetables prices are also good 
daraz is good online services delivery on time."
positive,Quality bhtt achi hai mgr size bhtt zyda chota hai 
positive,Very convenient and easy to use
positive,Stuff was great plus same size as i asked...Highly Recomended...They have great collections of tights in many stuffs...Can buy them with 💯💯surety.
negative,بہت مایوس کن تجربہ رہا اس سیلر سے خریداری کا۔ جس سائز کے شوز منگوائے تھے ان سے ایک نمبر بڑے بھیج دیئے اور شوز کے سول کا میٹیریل بھی انتہائی غیرمعیاری ہے عجیب قسم کی بدبو آتی ہے اس کی ربڑ میں سے۔ 
negative,This is my 2nd AC installed by haier team instantly but I faced many issues this time. 1 AC recieved very late 2 packing was little torne from many places 3 color of outdoor and indoor is different 4 drain pipe was missing from box 5 remote cell cover is loose opens itself
positive,the stuff of the shirt is so good in this price .. ...  overall good experience with daraz .. thanks daraz and seller.. 😊. 
positive,great product in less amount 😊
neutral,"Satisfied ,it should be bigger in size"
positive,same product as shown in picture 
negative,Product was entirely different from the picture they are showing
positive,I receive my parsal the shirt is so good...I'm satisfied and the rider's behavior was good 👍 BTS shirt is so amazing 
negative,bhai parsel receive ho gya ha lekin batry Tim ni ha in ka batry sae nai ha in ki wesy bas sae ha normal c product ha ye 
negative,Very bad experience I didn’t expected this
positive,Beautiful product and must have for the kitchen tooo. Ordered two. Completely satisfied. Definitely recommended product and recommended seller.
neutral,Sound is average… 
positive,"bahut achcha hai quality bhi bahut acchi hai jaisa add dekha tha vaisa hi hai
thanks daraz "
positive,Thank You. 😊
positive,v.nice and usefull happy to get these🥰
positive,"amazing shirt 
💜💜 p"
neutral,"Parcel Received. Quality & Quantity are Good. Packaging is also good but the Stars are so Small. Pakistan e-commery industry needs much more addition to their model. Their First Priority Should be ""By the People, For the People"""
positive,fresh potatoes timely delivered recommend to buy 
positive,Very nice product in very reasonable price
positive,Thanku so much buht hi achi quality ha buht  pasnd aye
positive,I got my parcell nd its a good storage beg i like that nd soon i shop again.
neutral,"received two defected bags
these bags are not for the purpose for storage of heavy cloths
light weight quality
may b used only for light weight clothes "
negative,"Very bad experience.
Photos open kr k lazmi dekhain jo mene upload ki hain purchase krne se pehle.
Intahai 3rd class chz hai.
Rerri pr pathan log 500 ka sale kr rhy hain aur kahin 550 jo k ap dekh bhal kr ly skty hain.
Ye unse shyed damage piece utha kr daraz pr sale kr rhy hain aur apko ghar pohnch kr 860 rupees ka parre ga"
positive,"ALHAMDULILLAH
All Good "
positive,Original Gionee Earphones as others are selling A and b copy in market !! Satisfied 😊
negative,"voice is kind a low 
did not expected this poor voice in that money "
neutral,"The design is good, not sure about the quality yet to use"
neutral,ordered on 26 July. received on 30 July. the cooling is not so satisfactory even in this cool weather. I wonder what will be it's performance in a hot day. I have Haier inverter in my office which cooling is fantabulous. any how using it
negative,oversized😲 expect more good but it was not that much good
negative,Not good 
neutral,its good long but color is not brown its black
negative,This bag is literally the size of my palm. So small and is so wonky and is not at all like the pictures. Has dirt particles on it and is squished.
neutral,just ok not prepect
positive,buht he acha hai Mai insha Allah or b mangwawungi thank you daraz muja jo chezy dhundny Mai mushkil pais ati ti ab asani se mangwa leti hun☺
positive,very nice product exactly as shown in the picture 👍😍 
positive,"Such a lovely product...amazing,,, Recommended.."
positive,Real fresh is Dfresh 👍
positive,I have received my order. it was good. I will order more soon😁
positive,"Fabulous service 👍🏻 delivered in the next day. I didn't expect it 😂, I got my order so early 👏 for your service. And get accurate products without any scratches or harshness all things wrapped in bubble sheet specially shampoo is wrapped individual in bubble sheet. I'm so happy 😁 thank you Saeed Ghani and also daraz over all experience is really good"
positive,"Bht acha stuff hai 😍fast delivery 🚚 loving it 
Bht hi achi shirt hai i recommend for it😍"
positive,"I think soo 
genuine product
no complaint"
neutral,achhi product hai bht but total amount 405 thi but rider ny 460 liye
positive,daraz fresh has premium quality of vegetables in discounted price. thank you daraz.
positive,product was as same as shown in pic.. mashallah great seller .. thnk u
negative,I did ordered 2 hand free through online payment they sent me only one
neutral,in this price it is ok
neutral,Received this mouse within a week overall good enough but it is 2400dpi not 3200dpi. Seller mentioned it is 3200dpi
negative,very small and not more than 50 pieces.
negative,sound bohat hi kam hai sound me bilkul acha nai please mjhe btaen k ye return ya change kese hoga
positive,"I was hesitant to purchase the product. There are too many OBD2 scanners in the market and it is difficult to get one who will work for you. I checked this OBD2 scanner with Suzuki Vitara and it is providing all the information which I needed. Therefore, I am recommending this seller for OBD2 scanner purchase."
positive,excellent product thanks to seler highly recommended working fine
negative,plastic is very bad not good quality
positive,"awesome bag. but ek bag ki finishing thek nhi thi uper nechy thi other wise awesome product...
love it..😍😍😍😍😘😘"
negative,"It was not a good experience
I ordered i12 but received i15,🥱"
negative,lower quality lower fabric
positive,received the parcel in just 6 days. Good Handsfree with Excellent Sound and Bass Quality. Overall Satisfied.
positive,fresh and good for price
negative,The product shown in the video has not been shipped. The sender is a fraud.
positive,superb
positive,Good quality and highly recommended
positive,Fresh product aik he din main delivery hojate ha product ki bhoat saf hote hain price b market sa kam ha
neutral,Little leakage of air from body
positive,on time delivery without any hurdle 
positive,Amazing 😍
negative,center part not thick although softness but recommend for more improvement in this product
negative,it's just a toy
negative,Worst ever experience with Daraz . All strip was covered with sticky glue which was just horrible . Only 10 percent of whole strip is working .remaining is not working .
positive,"nice product as per price. fast delivery and no issue with size,  happy 👍"
negative,"bad quality. doesn't connect to device. bad battery. i contacted the saler , responded to a vouple of questions and then stopped responding to querries.I would not recommend it . "
positive,Excellent work as always thanks seller
negative,ts useless. .. Doesnot work for me.. Nd i dont think so it gona work on anybody.. It just waste of money.. Will not recommend.. Its justtt very bad product plz invest on good product like the body shop tea tree oil is best..
neutral,"it has a very short working time around 10mins after mixing the resin with hardener, I wouldn't recommend it for you if you were to start a big project."
positive,same thing love the fabric looks amazing feels amazing beautiful quality satisfied thank you
negative,"main ny ya wala order kiya tha... jo colorful hai.. is k reviews behter thay

ap ny dosra red wala bhaja
bhtt bekaar hai
us ka volume meray mobile k volume jitna hai

mera bilkul b kam ni howa us sy

jab sy aya hai aisay hi para howa hai

ap mujhy sahi wala bhajain
jis ka volume to ho kam az kam"
negative,"It has a strange smell, there is a mixture like it, I don't like this perfume oil"
negative,size andazy sy thora chota ha mgr quality achi ha
positive,good charging speed
positive,it's nice product good quality very fresh vegetables and fruits reasonable price I happy this purchasing 👍😊
positive,Nice voucher 🥰
positive,Product was excellent and delivered on time 
positive,I'm very satisfied with this order. quality is very good. delivery on time .Good packing. Good and honest saller
negative,Bought 2 pairs of dumbbells of 4kg(4+4) and 6kg(6+6). The rubber weights are attached to the dumbbells rod via glue so It will surely last for just a couple days. Poor quality won't recommend buying. Wasted my 5k+ pk
negative,bakwas kisam kay hai call ki awaz b nhi atii ior na e Song ki sound sai h
positive,Best Quality Product
positive,"These are actually vary good. The color doesn't come off at all, and are same as shown. I recommend it"
negative,It was not good the package came and when I opened it it was broken 
positive,Sahi hai Bhai koi masla nahi hai jesa dekhaya gaya hai wesa he hai same
negative,I am to mush disappointe for your product
positive,It's a really nice product just as described.
positive,Very Good quality in this price range
negative,Dont buy this. Different fron the pic. atrouser is warm and tshirts color is light and fabric not good.
positive,great product at low prices thanks seller
negative,very bad
positive,very good quality and delivered on time.. highly recommended
positive,very useful and amazing product. bundle of thanks to seller and daraz
positive,Great Support from seller
positive,size is quite good and enough.its not for travelling just pack ur clothes and put safEly at home anywhere 
positive,"these are genuine Gionee handfrees they send me love the sound and base of highest quality ❤️ they have, it's truly recommended to buy from this seller 🤠"
neutral,It is good quality for price. Would recommnd but i ordered black and got white Furthermore there are many scratchs on the mouse it self
negative,i'm very disappoint ... one of them is not working 😞
positive,highly recommended.
positive,Excellent
positive,Packaging is very good. This is good for giving gift someone.Quality is ok👍🏻 .Satisfied with this product.Rate of 9/10.Recommended.Also deliever on time.🤝🏼
positive,thank you 
positive,Jess picture ma tha same wesa he received kiya thank you👌
positive,good product good seller
negative,you are taking much more delivery charges then what was mentioned also oils are leaking from bottles
positive,Nice Product & as same as display 🙂
positive,good quality for price 👍🏻
positive,thanks seller and thanks daraz boht zbrdst item hen jo dikhaya woi bhaija
negative,"Not nice these are for sure Sweet potatos  🥔🥔 🥔🥔🥔🥔🥔 Will not recommend. 
Sorry Daraz do sell quality product to stay in a quality level as you up for."
positive,"good stitching, quality cargo pants. second time order. fully satisfied"
negative,bad quality too much expensive (for this type of quality) 1st experience (v.v.v.v bad )
negative,I ordered gray glasses and see what they would deliver to me after waiting for 1 week. I am very disappointed with the product seller. Check out the bifocal's material quality and its slim frame. The product is the opposite of my expectations. I recommend you all buy from the local people on the footpath. They will sell best at this price.
positive,good quality and high bass handfree am highly recommend for you
negative,Quality is not good . Extremely low grade plastic
positive,"very good condition .
good sound .
good battery timing ."
positive,Yes it is beautiful thank you
negative,poor quality grey bags ki black wala q nahi diya grey wala koi b nahi ly
positive,Thanks of seller and daraz. Good quality of product. And I recommend anyone to purchase it . Good quality of silicon mat
positive,Kamal product
neutral,its good but very tiny not accpected it to be that small
positive,thanks daraz 😊
positive,Very good product.High sound quality+high bass premium quality.
negative,"Useless and ineffective ,not recommended"
neutral,Very effective.
positive,alhamdullilah bhtr h speaker daraz apka shukria bs kbhi kharab na bhj dye ga deti hu koi chiz q k Kisi ne mangaya tha y izzat Ka sawal HOTA baqi psnd aya sbko thank u
positive,"Just Bought Two. Perfect in it's price ❤️🔥
recommend seller.
Thanks. m"
neutral,"Please check and respond, if i had installed it correctly?"
neutral,"Recieved product on time, works fine, just one thing i checked other sources n found the rate a bit high."
positive,nice product ..
neutral,I request for two I7s double wireless Bluetooth hands free product is looking good as I receive but battery time is not good also left side of one hands free not working properly
positive,"its very beautiful,reasonable price and size is good,And seller is good conversion thanks daraz and Bali advertising"
negative,the watch ⌚️ is not working I'm very said please tell me hoe to replace this 
negative,Yah sare bekar Hain do number chije bhejte hain tasvir mein dekha the ek Hain bhejte dusre Hain do number do number do number wale do number kam karte Hain bed bed
positive,This is the best engine guard for ybrs.
positive,all itams r good i m happy 
negative,Expensive Quality is not good
positive,sell is same is like original very good product in this price range
positive,PACKING WAS GOOD AND DELIVERED UNHARMED. PRODUCT IS GOOD AS WELL.
positive,Bright optics is One of the best trusted lenses shop on Daraz!
positive,Exellent product in this price . best experience of using . love to make cuppaciano coffee by this hand held beater 😍😎
positive,Very very nice product my son is very happy ko see this scate board thank you so much Daraz
positive,For the price it is good
